BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3,PostCode,RatingValue,RatingDate,LocalAuthorityName,Hygiene,Structural,ConfidenceInManagement,Longitude,Latitude
2 Chefs Catering Ltd,Other catering premises,,,,,5,2024-11-24,Reading,5,0,5,,
3 Love Food,Other catering premises,,,,,5,2026-04-17,Reading,0,0,0,,
3B's Cafe,Other catering premises,735 Oxford Road,Reading,,RG30 1JA,5,2026-03-17,Reading,5,5,5,-1.013856,51.4622131
3Cs Cafe at St Johns Church,Restaurant/Cafe/Canteen,Gosbrook Road,Caversham,Reading,RG4 5AN,5,2025-09-23,Reading,5,0,5,,
6Pack Supplements,Distributors/Transporters,443 Oxford Road,Reading,,RG30 1HD,Exempt,,Reading,,,,-0.9975742,51.4570035
7 Day European Supermarket,Retailers - other,181 Oxford Road,Reading,,RG1 7UZ,4,2024-12-07,Reading,0,10,10,-0.9845056,51.4550297
7 Day Local,Retailers - other,53 Basingstoke Road,Reading,,RG2 0ER,5,2019-06-23,Reading,0,5,5,-0.9665363,51.4400809
7 Flowers & Tea,Restaurant/Cafe/Canteen,4 Cross Street,Reading,,RG1 1SN,5,2019-03-07,Reading,0,0,0,-0.9714623,51.4564805
7 Rifles Reading,Other catering premises,Brock Barracks Oxford Road,Reading,,RG30 1HW,5,2025-03-18,Reading,0,5,0,-1.0034888,51.4583758
7 Seas Fresh Fish,Retailers - other,88 Oxford Road,Reading,,RG1 7LJ,1,2025-02-13,Reading,15,15,20,-0.9797819,51.4551595
7p Aperitivo Ltd,Importers/Exporters,27 Rose Kiln Lane,Reading,,RG2 0JZ,5,2025-12-10,Reading,0,0,0,-0.9759891,51.4419893
7th Heaven,Restaurant/Cafe/Canteen,101 Wokingham Road,Reading,,RG6 1LH,5,2025-02-14,Reading,5,5,5,-0.9365756,51.4484181
A & G Retail,Retailers - other,,,,,5,2024-06-03,Reading,5,0,5,,
A J Bakes & More,Other catering premises,,,,,4,2025-05-08,Reading,0,10,10,,
A&S News & Off Licence,Retailers - other,130 Great Knollys Street,Reading,,RG1 7HB,5,2017-12-03,Reading,0,0,5,-0.9841233,51.4579938
Abbeyfield Wey Valley Society Maitland House,Hospitals/Childcare/Caring Premises,11 Maitland Road,Reading,,RG1 6NL,5,2025-01-29,Reading,5,5,5,-0.9868781,51.451876
Abbeymore Day Nursery,Hospitals/Childcare/Caring Premises,161 Wokingham Road,Reading,Berkshire,RG6 1LP,5,2025-04-30,Reading,5,5,5,-0.9323818,51.4443696
Abikwa Bakes,Other catering premises,,,,,5,2026-05-20,Reading,5,5,5,,
Acai Love,Mobile caterer,,,,,5,2026-07-23,Reading,0,0,0,,
Accent Catering at Geoffrey Field Infant & Junior School,Other catering premises,Exbourne Road,Reading,,RG2 8RH,5,2025-10-22,Reading,0,5,5,-0.96143834,51.42185869
Ace Catering,Mobile caterer,87 Southcote Lane,Reading,,RG30 3AH,AwaitingInspection,,Reading,,,,-1.0019966,51.4436162
Admiral Casino,Retailers - other,93-98 Friar Street,Reading,,RG1 1EP,Exempt,,Reading,,,,-0.9757811,51.4564374
Afghan Flavours,Takeaway/sandwich shop,40 Oxford Road,Reading,,RG1 7LA,3,2026-06-15,Reading,10,10,10,-0.9773294,51.4554169
Afghan Palace Reading,Restaurant/Cafe/Canteen,308 Oxford Road,Reading,,RG30 1AD,3,2026-01-13,Reading,10,5,10,-0.9947601,51.4566827
Age UK,Retailers - other,20a School Road,Tilehurst,Reading,RG31 5AN,Exempt,,Reading,,,,-1.037705,51.4603159
Agnes Coffee Shop,Restaurant/Cafe/Canteen,184 Oxford Road,Reading,,RG1 7PL,3,2025-05-20,Reading,10,10,10,-0.9890358,51.4558422
Ahmed Chem Ltd,Retailers - other,71 Basingstoke Road,Reading,Berkshire,RG2 0ER,Exempt,,Reading,,,,-0.9670497,51.4396448
Ahmed Superstore,Retailers - supermarkets/hypermarkets,69-71 Whitley Street,Reading,,RG2 0EG,5,2024-08-08,Reading,5,5,5,-0.9648191,51.4447594
Ai La Home Cooking,Other catering premises,,,,,5,2025-11-14,Reading,0,0,5,,
AK Superstore,Retailers - supermarkets/hypermarkets,41 Tilehurst Road,Reading,,RG1 7TT,2,2026-01-09,Reading,10,15,10,-0.9909329,51.4520459
AKA BBQ Station,Restaurant/Cafe/Canteen,55 St Marys Butts,Reading,,RG1 2LG,5,2025-01-24,Reading,5,0,5,-0.9743673,51.4546536
Alamin Tandoori,Takeaway/sandwich shop,75 Basingstoke Road,Reading,,RG2 0ER,3,2026-06-10,Reading,10,10,10,-0.9671089,51.4395734
Albie's Bakes,Other catering premises,,,,,5,2022-01-31,Reading,0,0,0,,
Aldi,Retailers - supermarkets/hypermarkets,350 Basingstoke Road,Reading,,RG2 0NT,5,2025-02-13,Reading,0,5,0,-0.9693995,51.4330475
Aldi,Retailers - supermarkets/hypermarkets,Caversham Road,Reading,,RG1 8AL,5,2025-02-13,Reading,0,5,0,,
Aldi Stores Ltd,Retailers - supermarkets/hypermarkets,Proctor End South,Reading,,RG2 0GG,5,2024-02-08,Reading,0,0,0,,
All Nations Christian Centre,Restaurant/Cafe/Canteen,1 Berkeley Avenue,Reading,,RG1 6JE,4,2026-05-29,Reading,5,0,10,-0.9826959,51.4477305
Allotment Productions,Retailers - other,Unit 4a Paddock Road Industrial Estate Paddock Road,Reading,,RG4 5BY,1,2026-03-11,Reading,5,5,20,-0.9553442,51.4646195
Alper Kebabs Mobile Van outside National Tyres,Mobile caterer,196 Basingstoke Road,Reading,,RG2 0HH,5,2026-05-07,Reading,0,0,5,-0.9683715,51.4378132
Al-Quds,Retailers - other,27 De Beauvoir Road,Reading,,RG1 5NR,AwaitingInspection,,Reading,,,,-0.9493551,51.4514825
Al-Rehman General Store,Retailers - other,45 Cholmeley Road,Reading,,RG1 3NQ,2,2026-02-02,Reading,10,15,10,-0.9471015,51.4549871
Alto Lounge,Restaurant/Cafe/Canteen,30-32a Church Street,Caversham,Reading,RG4 8AU,5,2025-09-02,Reading,5,5,5,-0.9749,51.4678
Amanda.jay _art,Other catering premises,,,,,5,2025-10-24,Reading,0,0,5,,
Amazing Grace Afro Caribbean Shop,Retailers - other,391 Oxford Road,Reading,,RG30 1HA,3,2025-05-21,Reading,10,10,10,-0.9955264,51.4565274
Amazing Grace Superstore Ltd,Retailers - other,168 Oxford Road,Reading,,RG1 7PL,4,2026-07-16,Reading,5,10,5,-0.9885047,51.4557747
Ambrith Ltd,Manufacturers/packers,5 Martin Cooper Close,Caversham,Reading,RG4 6AE,AwaitingInspection,,Reading,,,,-0.9532765,51.4694298
Amee's Kitchen,Other catering premises,232 Shinfield Road,Reading,,RG2 8EX,1,2026-03-19,Reading,5,15,20,-0.9463056,51.4283101
Amee's Kitchen,Other catering premises,734-736 Oxford Road,Reading,,RG30 1EH,3,2025-04-11,Reading,10,10,10,-1.0081159,51.4600605
American Candy,Retailers - other,4a The Riverside,The Oracle,Reading,RG1 2AG,4,2021-09-15,Reading,5,5,10,-0.9708718,51.4526536
Amicus Residential Care,Other catering premises,,,,,Exempt,,Reading,,,,,
Amicus Residential Care Home,Hospitals/Childcare/Caring Premises,,,,,Exempt,,Reading,,,,,
Amò - Italian Street Food,Restaurant/Cafe/Canteen,Unit 2 2-4 Kings Road,Reading,,RG1 3AA,5,2025-05-16,Reading,0,5,5,-0.9687359,51.4548379
Amorino,Restaurant/Cafe/Canteen,37 Broad Street,Reading,,RG1 2AA,5,2026-06-23,Reading,0,5,0,-0.9724555,51.4558328
Amsterdam Selection,Retailers - other,17 Whitley Street,Reading,,RG2 0EG,Exempt,,Reading,,,,-0.9654689,51.4459251
AMT Coffee at Royal Berkshire Hospital,Restaurant/Cafe/Canteen,London Road,Reading,,RG1 5AN,5,2024-11-28,Reading,5,0,0,-0.95611545,51.451942
Angel Bar,Pub/bar/nightclub,18 Prospect Street,Caversham,Reading,RG4 8JG,5,2024-11-22,Reading,0,5,5,-0.9728442,51.4680295
Angelos,Restaurant/Cafe/Canteen,9 Friars Walk Station Hill Reading,Reading,,RG1 1HP,5,2026-08-18,Reading,5,5,0,-0.9744959,51.4575733
ANJAPPAR Chettinad Indian Restaurant,Restaurant/Cafe/Canteen,74 Kings Road,Reading,,RG1 3BJ,1,2026-03-13,Reading,15,15,20,-0.9654744,51.4545933
Anna Hamilton Baking,Other catering premises,,,,,5,2019-09-18,Reading,0,5,0,,
Anonymous Coffee Co at Thames Tower,Takeaway/sandwich shop,37-45 Station Road,Reading,,RG1 1LX,5,2025-09-19,Reading,0,0,5,-0.972243,51.45775269
Antonio Maria,Mobile caterer,37 Church Road Caversham,Reading,,RG4 7AG,4,2026-04-09,Reading,5,5,10,-0.9789349,51.4679839
Anu's Dessert Café,Restaurant/Cafe/Canteen,40 Church Street Caversham,Reading,,RG4 8AU,AwaitingInspection,,Reading,,,,-0.9734296,51.467603
Apez Lawrick Nutiritons,Other catering premises,,,,,AwaitingInspection,,Reading,,,,,
