BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3
3B's Cafe,Other catering premises,735 Oxford Road,Reading,
3Cs Cafe at St Johns Church,Restaurant/Cafe/Canteen,Gosbrook Road,Caversham,Reading
3sixty,Pub/bar/nightclub,Reading University Student' Union,Pepper Lane,Earley
6Pack Supplements,Distributors/Transporters,443 Oxford Road,Reading,
7 Day European Supermarket,Retailers - other,181 Oxford Road,Reading,
7 Day Local,Retailers - other,53 Basingstoke Road,Reading,
7 Flowers & Tea,Restaurant/Cafe/Canteen,4 Cross Street,Reading,
7 Rifles Reading,Other catering premises,Brock Barracks Oxford Road,Reading,
7 Seas Fresh Fish,Retailers - other,88 Oxford Road,Reading,
7p Aperitivo Ltd,Importers/Exporters,27 Rose Kiln Lane,Reading,
7th Heaven,Restaurant/Cafe/Canteen,101 Wokingham Road,Reading,
A&S News & Off Licence,Retailers - other,130 Great Knollys Street,Reading,
A4 Snackbar,Mobile caterer,Lay-by Next To Rising Sun Public House Bath Road,Woolhampton,Reading
Abbeycrest Nursing Home,Caring Premises,Essex Way,Sonning Common,Reading
Abbeyfield Lodge,Caring Premises,184 - 186 Reading Road South,Church Crookham,Fleet
Abbeyfield Wey Valley Society Maitland House,Caring Premises,11 Maitland Road,Reading,
Abbeymore Day Nursery,Caring Premises,161 Wokingham Road,Reading,Berkshire
ABM Catering at Checkendon Primary School,School/college/university,Checkendon Church Of England (A) Primary School Main Street,Checkendon,Reading
ABM Catering at Langtree School,School/college/university,Langtree Secondary School Reading Road,Woodcote,Reading
Accent Catering at Geoffrey Field Infant & Junior School,Other catering premises,Exbourne Road,Reading,
Ace Catering,Mobile caterer,87 Southcote Lane,Reading,
Acorns Day Nursery,Caring Premises,,532 Reading Road,Winnersh
Active Tots,Caring Premises,5 - 7 Granary Court,Fair Oak Green,Stratfield Saye
Ada Meyhane,Restaurant/Cafe/Canteen,3 - 5 Reading Road,Pangbourne,Reading
Admiral Casino,Retailers - other,93-98 Friar Street,Reading,
Adventure Dolphin Centre,Restaurant/Cafe/Canteen,Dolphin House Whitchurch Road,Pangbourne,Reading
Afghan Flavours,Takeaway/sandwich shop,40 Oxford Road,Reading,
Afghan Palace Reading,Restaurant/Cafe/Canteen,308 Oxford Road,Reading,
Age UK,Retailers - other,20a School Road,Tilehurst,Reading
Agnes Coffee Shop,Restaurant/Cafe/Canteen,184 Oxford Road,Reading,
Ahmed Chem Ltd,Retailers - other,71 Basingstoke Road,Reading,Berkshire
Ahmed Superstore,Retailers - supermarkets/hypermarkets,69-71 Whitley Street,Reading,
AK Superstore,Retailers - supermarkets/hypermarkets,41 Tilehurst Road,Reading,
AKA BBQ Station,Restaurant/Cafe/Canteen,55 St Marys Butts,Reading,
Al Forno,Restaurant/Cafe/Canteen,59 Reading Road,Henley-On-Thames,Oxon
Al Furqan Primary School,School/college/university,Reddings Lane,Springfield,Birmingham
Al-Furqan Community College,School/college/university,Reddings Lane,Springfield,Birmingham
Al-Quds,Retailers - other,27 De Beauvoir Road,Reading,
Al-Rehman General Store,Retailers - other,45 Cholmeley Road,Reading,
Alamin Tandoori,Takeaway/sandwich shop,75 Basingstoke Road,Reading,
Aldergrove Breakfast & ASC,Hotel/bed & breakfast/guest house,,Aldergrove Church of England,Shinfield
Aldermaston Oaks,Caring Premises,Aldermaston C. E. Primary School Wasing Lane,Aldermaston,Reading
Aldermaston Recreational Society,Pub/bar/nightclub,Awe Reading Road,Aldermaston,Reading
Aldermaston Stores,Retailers - other,Fishermans Cottage Fishermans Lane,Aldermaston,Reading
Aldi,Retailers - supermarkets/hypermarkets,Caversham Road,Reading,
Aldi,Retailers - supermarkets/hypermarkets,350 Basingstoke Road,Reading,
Aldi Stores Limited,Retailers - supermarkets/hypermarkets,Aldi Stores Bath Road,Calcot,Reading
Aldi Stores Ltd,Retailers - supermarkets/hypermarkets,Proctor End South,Reading,
All Nations Christian Centre,Restaurant/Cafe/Canteen,1 Berkeley Avenue,Reading,
Allotment Productions,Retailers - other,Unit 4a Paddock Road Industrial Estate Paddock Road,Reading,
Alper Kebabs Mobile Van outside National Tyres,Mobile caterer,196 Basingstoke Road,Reading,
Alto Lounge,Restaurant/Cafe/Canteen,30-32a Church Street,Caversham,Reading
Amazing Grace Afro Caribbean Shop,Retailers - other,391 Oxford Road,Reading,
Amazing Grace Superstore Ltd,Retailers - other,168 Oxford Road,Reading,
Ambrith Ltd,Manufacturers/packers,5 Martin Cooper Close,Caversham,Reading
Amee's Kitchen,Other catering premises,734-736 Oxford Road,Reading,
